ID,Name,Role,Full Name,Image,DOB,Batting Style (s),Bowling Style (s),Batting Style (l),Bowling Style(l),Team ID,Playing Role
47986,Mushfiqur Rahim,WK,Mushfiqur Rahim,/db/PICTURES/CMS/303100/303148.jpg,9-5-1987,rhb,,right-hand bat,,25.0,wicketkeeper batter
47189,Naeem Islam,P,Naeem Islam,/db/PICTURES/CMS/308100/308137.1.jpg,31-12-1986,rhb,ob,right-hand bat,right-arm offbreak,25.0,allrounder
48394,Raqibul Hasan,P,Raqibul Hasan,/db/PICTURES/CMS/128600/128608.1.jpg,8-10-1987,rhb,lb,right-hand bat,legbreak,25.0,batter
52364,Rubel Hossain,P,Rubel Hossain,/db/PICTURES/CMS/263500/263594.jpg,1-1-1990,rhb,rf,right-hand bat,right-arm fast,25.0,bowler
47353,Shahadat Hossain,P,Shahadat Hossain,/db/PICTURES/CMS/202900/202945.1.jpg,7-8-1986,rhb,rmf,right-hand bat,right-arm medium-fast,25.0,bowler
48277,Shakib Al Hasan,P,Shakib Al Hasan,/db/PICTURES/CMS/303100/303157.jpg,24-3-1987,lhb,sla,left-hand bat,slow left-arm orthodox,25.0,allrounder
47984,Shamsur Rahman,P,Shamsur Rahman,/db/PICTURES/CMS/303100/303158.jpg,5-6-1988,rhb,,right-hand bat,,25.0,opening batter
45573,Syed Rasel,P,Syed Rasel,/db/PICTURES/CMS/303100/303163.jpg,3-7-1984,lhb,lmf,left-hand bat,left-arm medium-fast,25.0,bowler
48391,Tamim Iqbal,P,Tamim Iqbal,/db/PICTURES/CMS/303100/303166.jpg,20-3-1989,lhb,,left-hand bat,,25.0,opening batter
2314,PD Collingwood,C,Paul Collingwood,/db/PICTURES/CMS/304200/304259.png,26-5-1976,rhb,rm,right-hand bat,right-arm medium,1.0,allrounder
10829,JM Anderson,P,James Anderson,/db/PICTURES/CMS/243000/243027.jpg,30-7-1982,lhb,rfm,left-hand bat,right-arm fast-medium,1.0,bowler
44691,RS Bopara,P,Ravi Bopara,/db/PICTURES/CMS/304000/304007.jpg,4-5-1985,rhb,rm,right-hand bat,right-arm medium,1.0,batting allrounder
48440,SCJ Broad,P,Stuart Broad,/db/PICTURES/CMS/305000/305005.jpg,24-6-1986,lhb,rfm,left-hand bat,right-arm fast-medium,1.0,bowler
7826,JS Foster,WK,James Foster,/db/PICTURES/CMS/305000/305037.jpg,15-4-1980,rhb,,right-hand bat,,1.0,wicketkeeper batter
7053,RWT Key,P,Rob Key,/db/PICTURES/CMS/304300/304355.jpg,12-5-1979,rhb,ob,right-hand bat,right-arm offbreak,1.0,top-order batter
6769,AD Mascarenhas,P,Dimitri Mascarenhas,/db/PICTURES/CMS/305000/305011.jpg,30-10-1977,rhb,rfm,right-hand bat,right-arm fast-medium,1.0,allrounder
47055,EJG Morgan,P,Eoin Morgan,/db/PICTURES/CMS/303900/303947.jpg,10-9-1986,lhb,rm,left-hand bat,right-arm medium,1.0,middle-order batter
7221,GR Napier,P,Graham Napier,/db/PICTURES/CMS/144200/144291.1.jpg,6-1-1980,rhb,rm,right-hand bat,right-arm medium,1.0,bowling allrounder
8107,KP Pietersen,P,Kevin Pietersen,/db/PICTURES/CMS/304900/304987.jpg,27-6-1980,rhb,ob,right-hand bat,right-arm offbreak,1.0,top-order batter
49427,AU Rashid,P,Adil Rashid,/db/PICTURES/CMS/289600/289662.1.jpg,17-2-1988,rhb,lb,right-hand bat,legbreak,1.0,bowler
6377,OA Shah,P,Owais Shah,/db/PICTURES/CMS/303900/303991.jpg,22-10-1978,rhb,ob,right-hand bat,right-arm offbreak,1.0,batter
4647,RJ Sidebottom,P,Ryan Sidebottom,/db/PICTURES/CMS/304300/304356.jpg,15-1-1978,lhb,lfm,left-hand bat,left-arm fast-medium,1.0,bowler
7013,GP Swann,P,Graeme Swann,/db/PICTURES/CMS/305000/305043.jpg,24-3-1979,rhb,ob,right-hand bat,right-arm offbreak,1.0,bowler
44660,LJ Wright,P,Luke Wright,/db/PICTURES/CMS/305000/305012.jpg,7-3-1985,rhb,rm,right-hand bat,right-arm medium,1.0,top-order batter
4271,A Flintoff,P,Andrew Flintoff,/db/PICTURES/CMS/304200/304256.jpg,6-12-1977,rhb,rfm,right-hand bat,right-arm fast-medium,1.0,allrounder
7593,MS Dhoni,CWK,MS Dhoni,/db/PICTURES/CMS/302400/302402.jpg,7-7-1981,rhb,rm,right-hand bat,right-arm medium,6.0,wicketkeeper batter
7716,Yuvraj Singh,VC,Yuvraj Singh,/db/PICTURES/CMS/302400/302406.jpg,12-12-1981,lhb,sla,left-hand bat,slow left-arm orthodox,6.0,middle-order batter
7773,G Gambhir,P,Gautam Gambhir,/db/PICTURES/CMS/304100/304196.png,14-10-1981,lhb,lb,left-hand bat,legbreak,6.0,top-order batter
7139,Harbhajan Singh,P,Harbhajan Singh,/db/PICTURES/CMS/302400/302494.jpg,3-7-1980,rhb,ob,right-hand bat,right-arm offbreak,6.0,bowler
49247,RA Jadeja,P,Ravindra Jadeja,/db/PICTURES/CMS/302300/302394.jpg,6-12-1988,lhb,sla,left-hand bat,slow left-arm orthodox,6.0,allrounder
8813,KD Karthik,P,Dinesh Karthik,/db/PICTURES/CMS/304100/304195.png,1-6-1985,rhb,ob,right-hand bat,right-arm offbreak,6.0,wicketkeeper batter
7678,Z Khan,P,Zaheer Khan,/db/PICTURES/CMS/202600/202669.1.jpg,8-10-1978,rhb,lfm,right-hand bat,left-arm fast-medium,6.0,bowler
48319,P Kumar,P,Praveen Kumar,/db/PICTURES/CMS/335600/335643.4.jpg,2-10-1986,rhb,rm,right-hand bat,right-arm medium,6.0,bowler
48431,PP Ojha,P,Pragyan Ojha,/db/PICTURES/CMS/302300/302385.jpg,5-9-1986,lhb,sla,left-hand bat,slow left-arm orthodox,6.0,bowler
15473,YK Pathan,P,Yusuf Pathan,/db/PICTURES/CMS/202700/202769.1.jpg,17-11-1982,rhb,ob,right-hand bat,right-arm offbreak,6.0,allrounder
11399,IK Pathan,P,Irfan Pathan,/db/PICTURES/CMS/304200/304202.jpg,27-10-1984,lhb,lmf,left-hand bat,left-arm medium-fast,6.0,allrounder
15716,SK Raina,P,Suresh Raina,/db/PICTURES/CMS/304200/304224.png,27-11-1986,lhb,ob,left-hand bat,right-arm offbreak,6.0,middle-order batter
49327,I Sharma,P,Ishant Sharma,/db/PICTURES/CMS/302300/302388.jpg,2-9-1988,rhb,rfm,right-hand bat,right-arm fast-medium,6.0,bowler
48405,RG Sharma,P,Rohit Sharma,/db/PICTURES/CMS/302300/302374.jpg,30-4-1987,rhb,ob,right-hand bat,right-arm offbreak,6.0,top-order batter
47123,RP Singh,P,RP Singh,/db/PICTURES/CMS/304200/304222.png,6-12-1985,rhb,lfm,right-hand bat,left-arm fast-medium,6.0,bowler
7781,V Sehwag,P,Virender Sehwag,/db/PICTURES/CMS/304200/304226.jpg,20-10-1978,rhb,ob,right-hand bat,right-arm offbreak,6.0,top-order batter
47403,WTS Porterfield,C,William Porterfield,/db/PICTURES/CMS/305200/305238.jpg,6-9-1984,lhb,ob,left-hand bat,right-arm offbreak,29.0,batter
6325,AC Botha,P,Andre Botha,/db/PICTURES/CMS/128400/128426.1.jpg,12-9-1975,lhb,rm,left-hand bat,right-arm medium,29.0,allrounder
24812,JP Bray,P,Jeremy Bray,/db/PICTURES/CMS/305200/305226.jpg,30-11-1973,lhb,,left-hand bat,,29.0,
52609,PC Connell,P,Peter Connell,/db/PICTURES/CMS/305200/305245.jpg,13-8-1981,rhb,rmf,right-hand bat,right-arm medium-fast,29.0,bowler
51559,AR Cusack,P,Alex Cusack,/db/PICTURES/CMS/305200/305241.jpg,29-10-1980,rhb,rmf,right-hand bat,right-arm medium-fast,29.0,bowler
8228,DT Johnston,P,Trent Johnston,/db/PICTURES/CMS/305200/305228.jpg,29-4-1974,rhb,rfm,right-hand bat,right-arm fast-medium,29.0,bowler
4346,WK McCallan,P,Kyle McCallan,/db/PICTURES/CMS/305200/305232.jpg,27-8-1975,rhb,ob,right-hand bat,right-arm offbreak,29.0,allrounder
10345,JF Mooney,P,John Mooney,/db/PICTURES/CMS/305200/305233.jpg,10-2-1982,lhb,rm,left-hand bat,right-arm medium,29.0,allrounder
47397,KJ O'Brien,P,Kevin O'Brien,/db/PICTURES/CMS/305200/305235.jpg,4-3-1984,rhb,rmf,right-hand bat,right-arm medium-fast,29.0,batting allrounder
10351,NJ O'Brien,WK,Niall O'Brien,/db/PICTURES/CMS/305200/305237.jpg,8-11-1981,lhb,,left-hand bat,,29.0,wicketkeeper batter
47056,WB Rankin,P,Boyd Rankin,/db/PICTURES/CMS/305200/305274.jpg,5-7-1984,lhb,rfm,left-hand bat,right-arm fast-medium,29.0,bowler
52631,PR Stirling,P,Paul Stirling,/db/PICTURES/CMS/305200/305247.jpg,3-9-1990,rhb,ob,right-hand bat,right-arm offbreak,29.0,batting allrounder
10313,RM West,P,Regan West,/db/PICTURES/CMS/305200/305248.jpg,27-4-1979,lhb,"lfm,sla",left-hand bat,"left-arm fast-medium,slow left-arm orthodox",29.0,bowler
10342,AR White,P,Andrew White,/db/PICTURES/CMS/128400/128419.1.jpg,3-7-1980,rhb,ob,right-hand bat,right-arm offbreak,29.0,allrounder
47401,GC Wilson,WK,Gary Wilson,/db/PICTURES/CMS/305200/305240.jpg,5-2-1986,rhb,,right-hand bat,,29.0,wicketkeeper batter
4192,J Smits,CWK,Jeroen Smits,/db/PICTURES/CMS/104300/104328.1.jpg,21-6-1972,rhb,,right-hand bat,,15.0,wicketkeeper batter
45001,PW Borren,P,Peter Borren,/db/PICTURES/CMS/322400/322486.png,21-8-1983,rhb,rm,right-hand bat,right-arm medium,15.0,allrounder
6362,TN de Grooth,P,Tom de Grooth,/db/PICTURES/CMS/128500/128589.1.jpg,14-5-1979,rhb,ob,right-hand bat,right-arm offbreak,15.0,middle-order batter
57764,TGJ Gruijters,P,Tim Gruijters,/db/PICTURES/CMS/171300/171333.1.jpg,28-8-1991,rhb,rm,right-hand bat,right-arm medium,15.0,top-order batter
52861,MMA Jonkman,P,Maurits Jonkman,/db/PICTURES/CMS/104300/104334.1.jpg,20-3-1986,rhb,rm,right-hand bat,right-arm medium,15.0,bowler
48654,AN Kervezee,P,Alexei Kervezee,/db/PICTURES/CMS/157100/157121.1.jpg,11-9-1989,rhb,rm,right-hand bat,right-arm medium,15.0,opening batter
49443,Mudassar Bukhari,P,Mudassar Bukhari,/db/PICTURES/CMS/181200/181255.1.jpg,26-12-1983,rhb,rmf,right-hand bat,right-arm medium-fast,15.0,allrounder
47695,DP Nannes,P,Dirk Nannes,/db/PICTURES/CMS/117400/117423.1.jpg,16-5-1976,rhb,lf,right-hand bat,left-arm fast,2.0,bowler
10323,DJ Reekers,P,Darron Reekers,/db/PICTURES/CMS/104300/104337.1.jpg,26-5-1973,rhb,rm,right-hand bat,right-arm medium,15.0,opening batter
5694,E Schiferli,P,Edgar Schiferli,/db/PICTURES/CMS/104300/104338.1.jpg,17-5-1976,rhb,rmf,right-hand bat,right-arm medium-fast,15.0,bowler
48503,PM Seelaar,P,Pieter Seelaar,/db/PICTURES/CMS/128500/128595.1.jpg,2-7-1987,rhb,sla,right-hand bat,slow left-arm orthodox,15.0,allrounder
48655,ES Szwarczynski,P,Eric Szwarczynski,/db/PICTURES/CMS/228200/228243.1.jpg,13-2-1983,rhb,rm,right-hand bat,right-arm medium,15.0,batter
45358,RN ten Doeschate,P,Ryan ten Doeschate,/db/PICTURES/CMS/128500/128597.1.jpg,30-6-1980,rhb,rmf,right-hand bat,right-arm medium-fast,15.0,allrounder
6365,DLS van Bunge,P,Daan van Bunge,/db/PICTURES/CMS/171300/171343.1.jpg,19-10-1982,rhb,lb,right-hand bat,legbreak,15.0,allrounder
2260,B Zuiderent,P,Bas Zuiderent,/db/PICTURES/CMS/128500/128599.1.jpg,3-3-1977,rhb,rm,right-hand bat,right-arm medium,15.0,middle-order batter
46517,RG Nijman,P,Ruud Nijman,/db/PICTURES/CMS/101400/101404.1.jpg,15-6-1982,rhb,rmf,right-hand bat,right-arm medium-fast,15.0,bowler
4380,DL Vettori,C,Daniel Vettori,/db/PICTURES/CMS/303600/303683.png,27-1-1979,lhb,sla,left-hand bat,slow left-arm orthodox,5.0,allrounder
45000,NT Broom,P,Neil Broom,/db/PICTURES/CMS/303600/303660.jpg,20-11-1983,rhb,rm,right-hand bat,right-arm medium,5.0,middle-order batter
10380,IG Butler,P,Ian Butler,/db/PICTURES/CMS/303600/303645.png,24-11-1981,rhb,rf,right-hand bat,right-arm fast,5.0,bowler
47683,BJ Diamanti,P,Brendon Diamanti,/db/PICTURES/CMS/303700/303788.png,30-4-1981,rhb,rmf,right-hand bat,right-arm medium-fast,5.0,batter
9639,JEC Franklin,P,James Franklin,/db/PICTURES/CMS/303600/303647.png,7-11-1980,lhb,lm,left-hand bat,left-arm medium,5.0,allrounder
48927,MJ Guptill,P,Martin Guptill,/db/PICTURES/CMS/303600/303656.png,30-9-1986,rhb,ob,right-hand bat,right-arm offbreak,5.0,opening batter
10386,NL McCullum,P,Nathan McCullum,/db/PICTURES/CMS/303800/303806.png,1-9-1980,rhb,ob,right-hand bat,right-arm offbreak,5.0,bowler
10384,BB McCullum,WK,Brendon McCullum,/db/PICTURES/CMS/303600/303636.png,27-9-1981,rhb,"rm,ob",right-hand bat,"right-arm medium,right-arm offbreak",5.0,wicketkeeper batter
18948,PD McGlashan,P,Peter McGlashan,/db/PICTURES/CMS/303800/303808.jpg,22-6-1979,rhb,,right-hand bat,,5.0,wicketkeeper batter
10303,KD Mills,P,Kyle Mills,/db/PICTURES/CMS/303600/303653.png,15-3-1979,rhb,rfm,right-hand bat,right-arm fast-medium,5.0,bowler
35652,IE O'Brien,P,Iain O'Brien,/db/PICTURES/CMS/303600/303644.png,10-7-1976,rhb,rfm,right-hand bat,right-arm fast-medium,5.0,bowler
9989,JDP Oram,P,Jacob Oram,/db/PICTURES/CMS/303600/303646.png,28-7-1978,lhb,rfm,left-hand bat,right-arm fast-medium,5.0,allrounder
11279,AJ Redmond,P,Aaron Redmond,/db/PICTURES/CMS/303600/303611.png,23-9-1979,rhb,lb,right-hand bat,legbreak,5.0,top-order batter
9570,SB Styris,P,Scott Styris,/db/PICTURES/CMS/303600/303668.png,10-7-1975,rhb,rm,right-hand bat,right-arm medium,5.0,allrounder
44930,LRPL Taylor,P,Ross Taylor,/db/PICTURES/CMS/303600/303667.png,8-3-1984,rhb,ob,right-hand bat,right-arm offbreak,5.0,middle-order batter
44946,JD Ryder,P,Jesse Ryder,/db/PICTURES/CMS/303600/303651.png,6-8-1984,lhb,rm,left-hand bat,right-arm medium,5.0,allrounder
10439,Younis Khan,C,Younis Khan,/db/PICTURES/CMS/302800/302850.jpg,29-11-1977,rhb,"rm,lb",right-hand bat,"right-arm medium,legbreak",7.0,middle-order batter
4178,Abdul Razzaq,P,Abdul Razzaq,/db/PICTURES/CMS/203000/203079.1.jpg,2-12-1979,rhb,rfm,right-hand bat,right-arm fast-medium,7.0,allrounder
49899,Ahmed Shehzad,P,Ahmed Shehzad,/db/PICTURES/CMS/302700/302765.jpg,23-11-1991,rhb,lb,right-hand bat,legbreak,7.0,opening batter
47099,Fawad Alam,P,Fawad Alam,/db/PICTURES/CMS/302700/302772.jpg,8-10-1985,lhb,sla,left-hand bat,slow left-arm orthodox,7.0,top-order batter
19396,Iftikhar Anjum,P,Iftikhar Anjum,/db/PICTURES/CMS/302800/302838.jpg,1-12-1980,rhb,rm,right-hand bat,right-arm medium,7.0,bowler
9257,Kamran Akmal,WK,Kamran Akmal,/db/PICTURES/CMS/302800/302872.jpg,13-1-1982,rhb,,right-hand bat,,7.0,wicketkeeper batter
19596,Misbah-ul-Haq,P,Misbah-ul-Haq,/db/PICTURES/CMS/302800/302839.jpg,28-5-1974,rhb,lb,right-hand bat,legbreak,7.0,middle-order batter
51498,Mohammad Amir,P,Mohammad Amir,/db/PICTURES/CMS/302800/302820.jpg,13-4-1992,lhb,lfm,left-hand bat,left-arm fast-medium,7.0,bowler
19930,Saeed Ajmal,P,Saeed Ajmal,/db/PICTURES/CMS/302800/302823.jpg,14-10-1977,rhb,ob,right-hand bat,right-arm offbreak,7.0,bowler
11647,Salman Butt,P,Salman Butt,/db/PICTURES/CMS/302800/302844.jpg,7-10-1984,lhb,ob,left-hand bat,right-arm offbreak,7.0,batter
4169,Shahid Afridi,P,Shahid Afridi,/db/PICTURES/CMS/203000/203077.1.jpg,1-3-1980,rhb,lbg,right-hand bat,legbreak googly,7.0,allrounder
58100,Shahzaib Hasan,P,Shahzaib Hasan,/db/PICTURES/CMS/104400/104402.1.jpg,25-12-1989,rhb,ob,right-hand bat,right-arm offbreak,7.0,opening batter
8270,Shoaib Malik,P,Shoaib Malik,/db/PICTURES/CMS/302800/302845.jpg,1-2-1982,rhb,ob,right-hand bat,right-arm offbreak,7.0,allrounder
48128,Sohail Tanvir,P,Sohail Tanvir,/db/PICTURES/CMS/203100/203111.1.jpg,12-12-1984,lhb,lmf,left-hand bat,left-arm medium-fast,7.0,bowler
44908,Umar Gul,P,Umar Gul,/db/PICTURES/CMS/302800/302846.jpg,15-10-1982,rhb,rfm,right-hand bat,right-arm fast-medium,7.0,bowler
5649,Shoaib Akhtar,P,Shoaib Akhtar,/db/PICTURES/CMS/303200/303262.jpg,13-8-1975,rhb,rf,right-hand bat,right-arm fast,7.0,bowler
10394,Yasir Arafat,P,Yasir Arafat,/db/PICTURES/CMS/203000/203091.1.jpg,12-3-1982,rhb,rfm,right-hand bat,right-arm fast-medium,7.0,allrounder
4334,GM Hamilton,C,Gavin Hamilton,/db/PICTURES/CMS/304300/304357.jpg,16-9-1974,lhb,rmf,left-hand bat,right-arm medium-fast,30.0,middle-order batter
48469,RD Berrington,P,Richie Berrington,/db/PICTURES/CMS/172800/172885.1.jpg,3-4-1987,rhb,rmf,right-hand bat,right-arm medium-fast,30.0,top-order batter
46048,KJ Coetzer,P,Kyle Coetzer,/db/PICTURES/CMS/172800/172889.1.jpg,14-4-1984,rhb,rmf,right-hand bat,right-arm medium-fast,30.0,top-order batter
52063,GD Drummond,P,Gordon Drummond,/db/PICTURES/CMS/104100/104145.1.jpg,21-4-1980,rhb,rmf,right-hand bat,right-arm medium-fast,30.0,bowler
46091,RM Haq,P,Majid Haq,/db/PICTURES/CMS/172800/172887.1.jpg,11-2-1983,lhb,ob,left-hand bat,right-arm offbreak,30.0,bowler
49112,CS MacLeod,P,Calum MacLeod,/db/PICTURES/CMS/172800/172869.1.jpg,15-11-1988,rhb,"rmf,ob",right-hand bat,"right-arm medium-fast,right-arm offbreak",30.0,top-order batter
44588,NFI McCallum,P,Neil McCallum,/db/PICTURES/CMS/104400/104458.1.jpg,22-11-1977,rhb,,right-hand bat,,30.0,middle-order batter
47873,JD Nel,P,Dewald Nel,/db/PICTURES/CMS/322400/322449.png,6-6-1980,rhb,rmf,right-hand bat,right-arm medium-fast,30.0,bowler
46142,NS Poonia,P,Navdeep Poonia,/db/PICTURES/CMS/104400/104456.1.jpg,11-5-1986,rhb,rmf,right-hand bat,right-arm medium-fast,30.0,batter
50788,GA Rogers,P,Glenn Rogers,/db/PICTURES/CMS/104100/104144.1.jpg,12-4-1977,rhb,sla,right-hand bat,slow left-arm orthodox,30.0,bowler
8221,CJO Smith,WK,Colin Smith,/db/PICTURES/CMS/104400/104455.1.jpg,27-9-1972,rhb,,right-hand bat,,30.0,wicketkeeper batter
52282,JH Stander,P,Jan Stander,/db/PICTURES/CMS/104400/104459.1.jpg,4-1-1982,rhb,rmf,right-hand bat,right-arm medium-fast,30.0,bowler
45548,RR Watson,P,Ryan Watson,/db/PICTURES/CMS/104400/104454.1.jpg,12-11-1976,rhb,"rm,ob",right-hand bat,"right-arm medium,right-arm offbreak",30.0,middle-order batter
8225,DF Watts,P,Fraser Watts,/db/PICTURES/CMS/104100/104143.1.jpg,5-6-1979,rhb,rm,right-hand bat,right-arm medium,30.0,opening batter
7236,CM Wright,P,Craig Wright,/db/PICTURES/CMS/104400/104457.1.jpg,28-4-1974,rhb,rm,right-hand bat,right-arm medium,30.0,bowler
4968,JAR Blain,P,John Blain,/db/PICTURES/CMS/131700/131774.1.jpg,4-1-1979,rhb,rfm,right-hand bat,right-arm fast-medium,30.0,bowler
10406,GC Smith,C,Graeme Smith,/db/PICTURES/CMS/203100/203147.1.jpg,1-2-1981,lhb,ob,left-hand bat,right-arm offbreak,3.0,opening batter
10401,J Botha,VC,Johan Botha,/db/PICTURES/CMS/203100/203145.1.jpg,2-5-1982,rhb,ob,right-hand bat,right-arm offbreak,3.0,allrounder
48879,YA Abdulla,P,Yusuf Abdulla,/db/PICTURES/CMS/104300/104357.1.jpg,17-1-1983,lhb,lfm,left-hand bat,left-arm fast-medium,3.0,bowler
3947,MV Boucher,WK,Mark Boucher,/db/PICTURES/CMS/136700/136790.1.jpg,3-12-1976,rhb,rm,right-hand bat,right-arm medium,3.0,wicketkeeper batter
46533,AB de Villiers,P,AB de Villiers,/db/PICTURES/CMS/263700/263764.1.jpg,17-2-1984,rhb,rm,right-hand bat,right-arm medium,3.0,wicketkeeper batter
45222,JP Duminy,P,Jean-Paul Duminy,/db/PICTURES/CMS/263700/263769.1.jpg,14-4-1984,lhb,ob,left-hand bat,right-arm offbreak,3.0,batting allrounder
2347,HH Gibbs,P,Herschelle Gibbs,/db/PICTURES/CMS/146300/146343.1.jpg,23-2-1974,rhb,rab,right-hand bat,right-arm bowler,3.0,opening batter
2232,JH Kallis,P,Jacques Kallis,/db/PICTURES/CMS/203100/203133.1.jpg,16-10-1975,rhb,rfm,right-hand bat,right-arm fast-medium,3.0,allrounder
47289,M Morkel,P,Morne Morkel,/db/PICTURES/CMS/263700/263776.1.jpg,6-10-1984,lhb,rf,left-hand bat,right-arm fast,3.0,bowler
9505,JA Morkel,P,Albie Morkel,/db/PICTURES/CMS/203100/203139.1.jpg,10-6-1981,lhb,rmf,left-hand bat,right-arm medium-fast,3.0,bowling allrounder
7541,JL Ontong,P,Justin Ontong,/db/PICTURES/CMS/258600/258613.jpg,4-1-1980,rhb,ob,right-hand bat,right-arm offbreak,3.0,allrounder
50121,WD Parnell,P,Wayne Parnell,/db/PICTURES/CMS/263700/263777.1.jpg,30-7-1989,lhb,lmf,left-hand bat,left-arm medium-fast,3.0,bowler
9492,RJ Peterson,P,Robin Peterson,/db/PICTURES/CMS/203100/203137.1.jpg,4-8-1979,lhb,sla,left-hand bat,slow left-arm orthodox,3.0,bowler
47154,DW Steyn,P,Dale Steyn,/db/PICTURES/CMS/315300/315317.jpg,27-6-1983,rhb,rf,right-hand bat,right-arm fast,3.0,bowler
47391,RE van der Merwe,P,Roelof van der Merwe,/db/PICTURES/CMS/217400/217463.1.jpg,31-12-1984,rhb,sla,right-hand bat,slow left-arm orthodox,15.0,bowling allrounder
9587,KC Sangakkara,C,Kumar Sangakkara,/db/PICTURES/CMS/305000/305090.jpg,27-10-1977,lhb,ob,left-hand bat,right-arm offbreak,8.0,wicketkeeper batter
2041,M Muralidaran,VC,Muthiah Muralidaran,/db/PICTURES/CMS/305100/305139.jpg,17-4-1972,rhb,ob,right-hand bat,right-arm offbreak,8.0,bowler
7412,SI de Saram,WK,Indika de Saram,/db/PICTURES/CMS/304900/304926.jpg,2-9-1973,rhb,ob,right-hand bat,right-arm offbreak,8.0,
7419,TM Dilshan,P,Tillakaratne Dilshan,/db/PICTURES/CMS/304900/304927.jpg,14-10-1976,rhb,ob,right-hand bat,right-arm offbreak,8.0,allrounder
1988,ST Jayasuriya,P,Sanath Jayasuriya,/db/PICTURES/CMS/304900/304919.jpg,30-6-1969,lhb,sla,left-hand bat,slow left-arm orthodox,8.0,allrounder
6315,DPMD Jayawardene,P,Mahela Jayawardene,/db/PICTURES/CMS/303800/303879.jpg,27-5-1977,rhb,rm,right-hand bat,right-arm medium,8.0,batter
